n,L_n,R_n,M_n
5740,5.9986063932,6.0013938496,5.9999999393
5760,5.9986112317,6.0013890095,5.9999999397
5780,5.9986160367,6.0013842028,5.9999999401
5800,5.9986208086,6.0013794292,5.9999999405
5820,5.9986255476,6.0013746885,5.999999941
5840,5.9986302543,6.0013699803,5.9999999414
5860,5.9986349288,6.0013653042,5.9999999418
5880,5.9986395715,6.0013606599,5.9999999422
5900,5.9986441827,6.0013560471,5.9999999425
5920,5.9986487628,6.0013514655,5.9999999429
5940,5.998653312,6.0013469147,5.9999999433
5960,5.9986578307,6.0013423945,5.9999999437
5980,5.9986623192,6.0013379045,5.9999999441
6000,5.9986667778,6.0013334444,5.9999999444
6020,5.9986712067,6.001329014,5.9999999448
6040,5.9986756063,6.001324613,5.9999999452
6060,5.9986799769,6.0013202409,5.9999999455
6080,5.9986843187,6.0013158977,5.9999999459
6100,5.9986886321,6.0013115829,5.9999999463
6120,5.9986929173,6.0013072963,5.9999999466
6140,5.9986971745,6.0013030377,5.9999999469
6160,5.9987014041,6.0012988067,5.9999999473
6180,5.9987056064,6.0012946031,5.9999999476
6200,5.9987097815,6.0012904266,5.999999948
6220,5.9987139298,6.001286277,5.9999999483
6240,5.9987180514,6.001282154,5.9999999486
6260,5.9987221468,6.0012780573,5.999999949
6280,5.9987262161,6.0012739868,5.9999999493
6300,5.9987302595,6.001269942,5.9999999496
6320,5.9987342774,6.0012659229,5.9999999499
6340,5.9987382699,6.0012619292,5.9999999502
6360,5.9987422373,6.0012579605,5.9999999506
6380,5.9987461798,6.0012540168,5.9999999509
6400,5.9987500977,6.0012500977,5.9999999512
6420,5.9987539911,6.001246203,5.9999999515
6440,5.9987578604,6.0012423325,5.9999999518
6460,5.9987617058,6.0012384859,5.9999999521
6480,5.9987655274,6.0012346632,5.9999999524
6500,5.9987693254,6.0012308639,5.9999999527
6520,5.9987731002,6.001227088,5.999999953
6540,5.9987768519,6.0012233351,5.9999999532
6560,5.9987805808,6.0012196051,5.9999999535
6580,5.9987842869,6.0012158979,5.9999999538
6600,5.9987879706,6.001212213,5.9999999541
6620,5.9987916321,6.0012085505,5.9999999544
6640,5.9987952714,6.00120491,5.9999999546
6660,5.998798889,6.0012012914,5.9999999549
6680,5.9988024848,6.0011976944,5.9999999552
6700,5.9988060593,6.001194119,5.9999999554
6720,5.9988096124,6.0011905648,5.9999999557
6740,5.9988131444,6.0011870317,5.999999956
6760,5.9988166556,6.0011835195,5.9999999562
6780,5.998820146,6.001180028,5.9999999565
6800,5.9988236159,6.0011765571,5.9999999567
6820,5.9988270655,6.0011731065,5.999999957
6840,5.9988304949,6.0011696761,5.9999999573
6860,5.9988339042,6.0011662658,5.9999999575
6880,5.9988372938,6.0011628752,5.9999999577
6900,5.9988406637,6.0011595043,5.999999958
6920,5.9988440142,6.0011561529,5.9999999582
6940,5.9988473453,6.0011528208,5.9999999585
6960,5.9988506573,6.0011495079,5.9999999587
6980,5.9988539503,6.0011462139,5.9999999589
7000,5.9988572245,6.0011429388,5.9999999592
7020,5.99886048,6.0011396823,5.9999999594
7040,5.9988637171,6.0011364443,5.9999999596
7060,5.9988669358,6.0011332247,5.9999999599
7080,5.9988701363,6.0011300233,5.9999999601
7100,5.9988733188,6.0011268399,5.9999999603
7120,5.9988764834,6.0011236744,5.9999999605
7140,5.9988796303,6.0011205266,5.9999999608
7160,5.9988827596,6.0011173965,5.999999961
7180,5.9988858715,6.0011142837,5.9999999612
7200,5.9988889661,6.0011111883,5.9999999614
7220,5.9988920435,6.00110811,5.9999999616
7240,5.9988951039,6.0011050487,5.9999999618
7260,5.9988981475,6.0011020043,5.9999999621
7280,5.9989011744,6.0010989766,5.9999999623
7300,5.9989041846,6.0010959655,5.9999999625
7320,5.9989071785,6.0010929708,5.9999999627
7340,5.998910156,6.0010899925,5.9999999629
7360,5.9989131173,6.0010870304,5.9999999631
7380,5.9989160626,6.0010840843,5.9999999633
7400,5.998918992,6.0010811541,5.9999999635
7420,5.9989219055,6.0010782398,5.9999999637
7440,5.9989248034,6.0010753411,5.9999999639
7460,5.9989276858,6.0010724579,5.9999999641
7480,5.9989305528,6.0010695902,5.9999999643
7500,5.9989334044,6.0010667378,5.9999999644
7520,5.9989362409,6.0010639005,5.9999999646
7540,5.9989390624,6.0010610783,5.9999999648
7560,5.9989418689,6.001058271,5.999999965
7580,5.9989446606,6.0010554786,5.9999999652
7600,5.9989474377,6.0010527008,5.9999999654
7620,5.9989502001,6.0010499377,5.9999999656
7640,5.9989529481,6.0010471889,5.9999999657
7660,5.9989556817,6.0010444546,5.9999999659
7680,5.9989584011,6.0010417345,5.9999999661
7700,5.9989611064,6.0010390285,5.9999999663
7720,5.9989637977,6.0010363365,5.9999999664
7740,5.998966475,6.0010336585,5.9999999666
7760,5.9989691386,6.0010309943,5.9999999668
7780,5.9989717884,6.0010283437,5.999999967
7800,5.9989744247,6.0010257068,5.9999999671
7820,5.9989770475,6.0010230833,5.9999999673
7840,5.9989796569,6.0010204732,5.9999999675
7860,5.998982253,6.0010178765,5.9999999676
7880,5.998984836,6.0010152928,5.9999999678
7900,5.9989874059,6.0010127223,5.999999968
7920,5.9989899628,6.0010101648,5.9999999681
7940,5.9989925068,6.0010076201,5.9999999683
7960,5.998995038,6.0010050883,5.9999999684
7980,5.9989975565,6.0010025691,5.9999999686
8000,5.9990000625,6.0010000625,5.9999999688
8020,5.999002556,6.0009975684,5.9999999689
8040,5.999005037,6.0009950868,5.9999999691
8060,5.9990075057,6.0009926174,5.9999999692
8080,5.9990099623,6.0009901603,5.9999999694
8100,5.9990124066,6.0009877153,5.9999999695
8120,5.999014839,6.0009852823,5.9999999697
8140,5.9990172594,6.0009828613,5.9999999698
8160,5.9990196679,6.0009804522,5.99999997
8180,5.9990220647,6.0009780549,5.9999999701
8200,5.9990244497,6.0009756692,5.9999999703
8220,5.9990268232,6.0009732952,5.9999999704
8240,5.9990291851,6.0009709327,5.9999999705
8260,5.9990315356,6.0009685816,5.9999999707
8280,5.9990338748,6.0009662419,5.9999999708
8300,5.9990362026,6.0009639135,5.999999971
8320,5.9990385193,6.0009615962,5.9999999711
8340,5.9990408249,6.0009592901,5.9999999712
8360,5.9990431194,6.000956995,5.9999999714
8380,5.999045403,6.0009547109,5.9999999715
8400,5.9990476757,6.0009524376,5.9999999717
8420,5.9990499377,6.0009501752,5.9999999718
8440,5.9990521889,6.0009479235,5.9999999719
8460,5.9990544294,6.0009456824,5.9999999721
8480,5.9990566594,6.0009434518,5.9999999722
8500,5.9990588789,6.0009412318,5.9999999723
8520,5.999061088,6.0009390222,5.9999999724
8540,5.9990632867,6.000936823,5.9999999726
8560,5.9990654751,6.000934634,5.9999999727
8580,5.9990676534,6.0009324553,5.9999999728
8600,5.9990698215,6.0009302866,5.999999973
8620,5.9990719796,6.0009281281,5.9999999731
8640,5.9990741277,6.0009259795,5.9999999732
8660,5.9990762658,6.0009238409,5.9999999733
8680,5.9990783941,6.0009217121,5.9999999735
8700,5.9990805126,6.0009195931,5.9999999736
8720,5.9990826214,6.0009174838,5.9999999737
8740,5.9990847206,6.0009153842,5.9999999738
8760,5.9990868101,6.0009132941,5.9999999739
8780,5.9990888902,6.0009112136,5.9999999741
8800,5.9990909607,6.0009091426,5.9999999742
8820,5.9990930219,6.0009070809,5.9999999743
8840,5.9990950738,6.0009050286,5.9999999744
8860,5.9990971164,6.0009029855,5.9999999745
8880,5.9990991498,6.0009009516,5.9999999746
8900,5.9991011741,6.0008989269,5.9999999748
8920,5.9991031893,6.0008969113,5.9999999749
8940,5.9991051955,6.0008949046,5.999999975
8960,5.9991071927,6.000892907,5.9999999751
8980,5.999109181,6.0008909182,5.9999999752
9000,5.9991111605,6.0008889383,5.9999999753
9020,5.9991131312,6.0008869671,5.9999999754
9040,5.9991150932,6.0008850047,5.9999999755
9060,5.9991170465,6.0008830509,5.9999999756
9080,5.9991189912,6.0008811058,5.9999999757
9100,5.9991209274,6.0008791692,5.9999999758
9120,5.9991228551,6.0008772411,5.999999976
9140,5.9991247744,6.0008753214,5.9999999761
9160,5.9991266852,6.0008734101,5.9999999762
9180,5.9991285878,6.0008715072,5.9999999763
9200,5.999130482,6.0008696125,5.9999999764
9220,5.9991323681,6.000867726,5.9999999765
9240,5.999134246,6.0008658477,5.9999999766
9260,5.9991361158,6.0008639775,5.9999999767
9280,5.9991379775,6.0008621154,5.9999999768
9300,5.9991398312,6.0008602613,5.9999999769
9320,5.999141677,6.0008584151,5.999999977
9340,5.9991435148,6.0008565769,5.9999999771
9360,5.9991453448,6.0008547465,5.9999999772
9380,5.999147167,6.0008529239,5.9999999773
9400,5.9991489814,6.0008511091,5.9999999774
9420,5.9991507882,6.000849302,5.9999999775
9440,5.9991525873,6.0008475025,5.9999999776
9460,5.9991543787,6.0008457107,5.9999999777
9480,5.999
